episode,rows,avg_tcp_throughput_mbps,avg_rtt_ms,avg_udp_jitter_ms,avg_udp_loss_pct,weighted_qos_reward
1,8,14.662500,15.564250,0.130500,0.782500,-0.100000
2,8,13.160000,16.395375,0.125500,0.532500,-0.300000
3,8,19.790000,16.012750,0.127750,1.470000,0.020611
4,8,9.345000,16.787000,0.131500,0.345000,-0.450000
5,8,17.200000,15.881000,0.116500,0.650000,0.182433
6,8,12.835000,16.419375,0.121500,0.847500,-0.193151
7,8,17.687500,16.700000,0.118750,1.082500,-0.080005
8,8,8.177500,16.257625,0.161250,0.252500,-0.320119
9,8,15.192500,16.436375,0.124750,0.735000,-0.059438
10,8,19.175000,15.952625,0.139500,1.182500,0.091855
11,8,17.997500,16.871625,0.233750,1.107500,-0.217083
12,8,13.790000,16.264375,0.139750,0.855000,-0.071304
13,8,12.747500,16.450875,0.123250,0.467500,-0.081159
14,8,14.630000,16.501625,0.157000,0.900000,-0.124423
15,8,11.697500,16.713125,0.313750,0.422500,-0.313325
