episode,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward,complete_flow_groups
1,50.325,2923.7155000000002,8.4885,36.9275,-0.41943852631578943,4
2,321.325,4285.71725,32.7845,29.7125,-0.3775282631578947,4
3,144.0445,3696.944,18.53275,31.822499999999998,-0.4085354342105263,4
4,6.7835,7789.04375,19.2635,40.75,-0.4674342894736842,4
5,505.225,8636.138500000001,38.3435,34.730000000000004,-0.2978324342105263,4
6,45.56125,3553.7625,31.145750000000003,33.55,-0.4550248157894737,4
7,271.775,11322.981125,63.9545,46.8725,-0.41314092105263156,4
8,104.7,4116.02425,8.869,1.95,-0.31177278947368414,2
9,475.5,12866.226,25.067,46.0,-0.3249904736842105,2
10,27.3825,7429.60225,33.91025,36.1,-0.47967027631578946,4
11,139.86666666666667,12297.8505,56.92366666666667,0.6933333333333334,-0.35214977192982455,3
12,4.8125,11884.46075,32.726,40.0,-0.5304916842105263,2
14,5.62,9596.719000000001,20.28,40.0,-0.5084736842105263,2
15,275.825,10115.4675,68.833,27.55,-0.3465626078947368,4
16,72.6,22.8245,49.577,49.25,-0.15967177894736842,2
17,330.4866666666667,16241.793166666665,46.24066666666667,28.766666666666666,-0.3727337192982456,3
19,42.845,1417.4935,4.38025,23.25,-0.37760075,4
20,18.26,10285.61975,16.25,48.0,-0.4910615789473684,2
21,0.089,2409.546,2.665,43.0,-0.45795752631578945,1
22,489.45,11151.478,45.8915,9.6,-0.26563428947368417,2
23,79.8,11276.488,95.4,74.5,-0.41376179999999996,2
24,144.85,5309.122375,54.2125,39.075,-0.3832569763157895,4
25,16.1,22.127,43.437,53.0,-0.28680825263157894,1
26,25.093333333333334,7081.194333333333,42.119,28.766666666666666,-0.40154618596491226,3
27,950.0,20867.656,68.089,2.2,-0.08299999999999996,1
28,133.0,15309.241,19.125,2.0,-0.331375,1
29,474.02,14457.3155,33.6905,45.5,-0.33875963157894734,2
30,473.66,11519.2435,31.139,46.0,-0.33518071052631576,2
32,474.5,14627.493999999999,31.389499999999998,45.0,-0.33809552631578943,2
33,660.0,12788.343,8.293,60.0,-0.1969842631578947,1
34,43.8625,8932.77125,31.83925,21.6125,-0.4236048289473684,4
35,45.5,7952.642750000001,35.685500000000005,1.95,-0.38543260526315787,2
36,475.0255,16819.981,37.7315,2.4,-0.22149826315789473,2
37,85.625,52.141000000000005,63.127,26.15,-0.1777144684210526,4
39,1.0515,12870.085,32.7075,23.0,-0.5054832631578947,2
40,17.766666666666666,4704.5363333333335,42.435,48.666666666666664,-0.44351149824561403,3
41,473.0,15164.59375,36.094,55.5,-0.3386506052631579,2
42,10.1435,9398.21225,15.153,42.0,-0.4911880526315789,2
43,75.39999999999999,1246.9109999999998,63.656,55.666666666666664,-0.4287014315789473,3
44,33.52,5397.5485,22.311999999999998,44.5,-0.5028223157894738,2
45,2.0300000000000002,13033.10275,32.3915,40.0,-0.5298122631578948,2
46,38.0,24452.321,75.178,1.3,-0.45349999999999996,1
47,491.05,12387.0305,37.877,0.855,-0.18314010526315785,2
48,336.553,16005.099666666667,40.168,33.333333333333336,-0.4128478245614035,3
49,32.0,716.768,0.475,51.0,-0.43795131578947366,1
50,441.0,21399.734,89.645,0.87,-0.2773657894736842,1
51,439.0,11298.5645,28.907999999999998,44.0,-0.3421393947368421,2
52,43.15,2468.124,0.795,0.185,-0.2869915789473684,2
53,31.285,8466.214,35.803000000000004,45.0,-0.5253648684210526,2
54,80.4,27858.077,70.118,3.9,-0.4746473684210526,1
55,1.3825,13567.3725,32.4465,41.5,-0.5315113947368422,2
56,952.0,2371.828,1.67,0.34,0.08989000000000003,1
57,0.138,17920.918250000002,38.8025,41.0,-0.5349033947368421,2
58,80.325,5570.514875,33.54875,3.2824999999999998,-0.355186697368421,4
59,20.605,25.658,22.2145,27.5,-0.14836251052631577,2
60,67.017,8149.251499999999,3.6003333333333334,0.93,-0.2965333157894737,3
61,950.0,3578.514,2.483,0.53,0.08460100000000004,1
62,106.425,10949.51625,48.80625,10.5725,-0.27272837368421055,4
63,325.50666666666666,15179.442166666666,53.446999999999996,28.143333333333334,-0.36593226315789473,3
64,21.2,13446.871,1.393,67.0,-0.44525268421052633,1
65,19.225,25.241500000000002,30.3525,46.5,-0.23491366315789472,2
66,517.2,1382.671,18.2965,21.7,-0.0819795789473684,2
67,102.73333333333333,5763.966333333334,38.817,2.1,-0.2913416596491228,3
68,6.37,29.382,46.091,54.0,-0.3032200947368421,1
71,61.0,4923.551,4.555,0.47,-0.29503078947368416,1
73,51.3,1769.594,0.181,1.0,-0.293943,1
75,42.3475,7649.196875000001,35.11025,24.55,-0.3942315486842105,4
76,511.5,1734.1975,39.8165,20.65,-0.10811347894736838,2
79,523.2,4687.3345,14.8995,0.9,-0.13790376315789474,2
80,67.9,947.9695,34.480999999999995,3.185,-0.39145432631578947,2
81,96.5,20768.61,61.621,3.3,-0.4588684210526316,1
82,20.956666666666667,2558.142,19.628,27.53333333333333,-0.44878414035087716,3
83,40.3,2959.365,2.275,0.67,-0.29990657894736844,1
84,21.673333333333336,2932.2681666666667,44.50899999999999,29.846666666666668,-0.4144125859649123,3
87,147.0,869.008,15.93,2.2,-0.31889526315789474,1
89,14.78,28.450499999999998,24.142,47.0,-0.23327314210526315,2
90,0.027,4158.64,5.673,39.0,-0.4670076315789473,1
91,75.6,633.413,1.876,5.9,-0.3622964210526316,1
92,121.0,1560.831,12.258,2.2,-0.3188266315789473,1
93,38.0,17427.1085,35.591,21.0,-0.540773,1
94,87.25,582.62,64.08,25.9,-0.3674900578947368,2
96,35.978,1941.8675,2.363,19.5,-0.22722616842105264,2
97,46.9,565.3072500000001,38.168,21.6,-0.29885653157894737,2
99,15.15,22.7335,22.266,47.5,-0.22405915263157894,2
100,15.6,28.937,51.568,49.0,-0.31079377894736837,1
102,0.672,3661.453,4.013,39.0,-0.46175605263157893,1
103,27.04733333333333,9556.672333333334,43.208333333333336,29.733333333333334,-0.40434304912280705,3
105,536.0,20918.367,48.1735,19.7,-0.11599778947368417,2
106,31.900000000000002,8358.835,23.00733333333333,1.5,-0.2658486210526316,3
108,0.929,1739.576,1.904,42.0,-0.45532084210526313,1
109,16.5,2542.563,1.632,3.5,-0.35044863157894734,1
110,43.9,3467.235,2.312,0.89,-0.3018017894736842,1
111,0.021,4124.646,5.305,39.0,-0.4659061578947369,1
112,63.150000000000006,29.3405,60.412000000000006,20.0,-0.26758932631578947,2
113,60.9,1473.571,69.16600000000001,35.5,-0.4625193947368421,4
114,78.0,77.934,62.463,5.0,-0.23891829473684212,1
115,20.5,34.219,63.434,55.0,-0.3118998210526316,1
116,0.02,3837.703,4.343,40.0,-0.46302057894736837,1
117,42.3,28.171,1.08,2.6,-0.041332073684210525,1
118,81.1,28751.046,83.052,2.3,-0.45035263157894734,1
119,30.9,617.8937500000001,0.2715,2.55,-0.18388577368421052,2
121,95.56666666666666,5586.532666666666,40.812333333333335,27.53333333333333,-0.3448056035087719,3
122,66.6,4787.94275,10.486999999999998,3.9000000000000004,-0.36191889473684213,2
126,948.0,6282.94,6.29,3.2,0.03228789473684217,1
127,0.02,4339.73,0.0,0.0,-0.2999915789473684,1
128,44.01666666666667,33.496,37.808,31.766666666666666,-0.21038826666666668,3
130,35.95,610.580375,26.329,14.4,-0.3396608578947368,4
132,54.35,1550.9055,23.261499999999998,3.15,-0.2539056894736842,2
133,0.04,5460.661,8.594,35.0,-0.47576515789473683,1
134,117.0,22.572,70.917,7.7,-0.22978004210526315,1
136,0.062,3199.888,3.543,41.0,-0.46060289473684213,1
138,71.5,33.6905,42.356,2.55,-0.10388553684210525,2
139,89.8,9518.975,52.279,1.8,-0.4391894736842106,1
140,146.0,57.528,89.015,5.3,-0.20254311578947365,1
142,55.6,33.43,0.579,0.97,-0.012934473684210522,1
143,41.8,4892.299,4.828,0.9,-0.310384,1
144,42.0,23197.684,85.043,0.83,-0.4447657894736842,1
145,41.3,6169.885,6.169,2.4,-0.33711752631578945,1
146,120.2,3167.4024999999997,94.97725,35.0375,-0.2578613236842105,4
148,53.73333333333333,14659.885499999999,46.832666666666675,1.1366666666666667,-0.3966304385964912,3
149,57.925,6703.069874999999,37.35,1.0975,-0.3227990263157895,4
150,22.915,2870.9862500000004,30.2745,46.25,-0.4567600789473684,4
152,66.535,3457.76625,32.98775,22.175,-0.39560221315789473,4
153,65.818,1141.878,60.86933333333334,39.06666666666667,-0.2929287578947368,3
157,951.0,2300.977,1.113,0.24,0.09306100000000003,1
158,41.1,2524.032,1.331,0.46,-0.29358773684210526,1
159,25.7,18512.0715,85.2535,48.95,-0.580928947368421,2
163,50.8,47.563,47.886250000000004,43.7,-0.22557382631578946,4
165,43.95,11686.403,72.531,23.1,-0.37234283684210523,2
167,0.04,4278.661,5.887,38.0,-0.4676441578947368,1
168,7.323333333333333,604.6685,22.425333333333338,45.0,-0.47273349122807024,3
169,41.6,5660.1795,29.6895,6.875,-0.4416222105263158,2
170,13.973333333333334,1267.9246666666666,13.885666666666665,37.666666666666664,-0.38969489122807016,3
172,43.57333333333333,1249.128,59.54633333333334,61.666666666666664,-0.46572033333333335,3
173,121.0,22.722,31.999,2.0,-0.08868283157894737,1
175,130.5,30.68,87.32849999999999,4.8,-0.18546063157894735,2
178,950.0,3248.489,2.279,0.4,0.08716300000000003,1
179,52.5,4296.573,3.543,0.45,-0.2952737368421052,1
182,158.0,1155.219,42.145,1.8,-0.3869086842105263,1
183,66.45,15427.320500000002,65.372,24.1,-0.461249052631579,2
185,0.047,5181.655,7.83,36.0,-0.47347021052631577,1
186,20.2,1157.1170000000002,1.382,42.0,-0.44564073684210526,1
187,79.16666666666667,748.031,84.07166666666667,32.82666666666667,-0.24069666666666664,3
191,23.815,2671.8265,29.115000000000002,55.0,-0.3858040315789474,2
193,50.65,508.99524999999994,39.806,3.005,-0.3364728842105263,2
194,80.46666666666667,35.315666666666665,50.065666666666665,3.1666666666666665,-0.13532769824561405,3
196,99.6,2995.547,60.253,11.0,-0.5580631578947368,1
197,110.0,12337.341,28.701,1.5,-0.3622872105263158,1
198,79.5,24286.64,0.0,0.0,-0.26652631578947367,1
201,126.15,5920.049999999999,64.212,26.25,-0.44664671052631577,2
202,53.26666666666667,175.2465,28.858333333333334,15.433333333333332,-0.20510882982456138,3
204,77.4725,34.78,54.84625,46.375,-0.21103024999999997,4
206,116.0,8623.512,33.961,1.9,-0.38154089473684205,1
207,15.9,28.862,61.92,52.0,-0.3106224631578947,1
208,19.5,29.993,50.901,53.0,-0.3097852736842105,1
209,15.5,33.517,60.597,56.0,-0.3135838842105263,1
210,63.1,25747.785,84.666,1.3,-0.4429315789473684,1
211,0.038,3928.322,4.365,39.0,-0.463079,1
212,36.97333333333333,9356.399,41.80166666666667,29.900000000000002,-0.3075106807017544,3
213,40.7,12669.7145,0.48,2.2,-0.31730315789473684,1
214,3.68,26.002,69.711,48.0,-0.3140517263157895,1
215,0.071,3296.841,4.133,40.0,-0.4623691052631579,1
216,103.1,2281.357,47.419500000000006,5.45,-0.2758347736842105,2
217,64.3,1290.1836666666668,17.192,1.8266666666666669,-0.3049811157894737,3
220,101.5,6562.037,14.8885,1.85,-0.3296786578947368,2
221,948.0,4455.566,3.323,0.81,0.07703889473684217,1
222,106.83333333333333,4334.358,17.37933333333333,2.4,-0.2528855438596491,3
228,74.1,1343.57225,67.70975,14.9075,-0.39677850000000003,4
229,113.4,2970.339,64.3165,24.55,-0.41346843157894736,2
231,56.5,29.567,74.86,2.5,-0.18145072631578948,1
232,30.1,5106.242,4.433,1.3,-0.3201253157894737,1
233,65.19999999999999,22.863500000000002,29.7605,2.3,-0.09696246842105262,2
234,91.43333333333334,43.791333333333334,38.76133333333333,3.3666666666666667,-0.11936655438596488,3
237,139.5,39.928,71.3265,28.0,-0.17139045789473684,2
238,42.9,21938.779,85.96,0.87,-0.4449868421052632,1
239,43.4,3607.396,2.93,0.59,-0.2993663157894737,1
240,115.35,16030.367,68.8845,25.5,-0.45480307894736843,2
241,25.5,4461.183,3.578,1.4,-0.3209971578947369,1
244,66.6,7850.1625,47.318,1.1,-0.4304118947368421,1
245,100.4,7579.04525,17.1975,1.8849999999999998,-0.3375938157894737,2
246,94.0,6645.172833333333,46.992333333333335,19.48,-0.4071350526315789,3
248,93.725,5275.38425,17.68025,1.5799999999999998,-0.33727759210526315,4
250,111.6,16148.6205,123.4995,47.8,-0.4975105263157894,2
