episode,reward,reward_ma5,reward_ma10,throughput_mbps,throughput_ma5,rtt_ms,rtt_ma5,jitter_ms,loss_pct,loss_ma5,tcp_failures,complete_groups
1,0.8237224166666667,0.8237224166666667,0.8237224166666667,143.0,143.0,21.28075,21.28075,0.04825,0.0007,0.0007,0,4
2,0.7672273333333333,0.795474875,0.795474875,143.0,143.0,18.929000000000002,20.104875,0.03225,0.00055,0.000625,0,4
3,0.7609949166666666,0.7839815555555556,0.7839815555555556,143.0,143.0,21.442,20.550583333333332,0.041,0.000975,0.0007416666666666666,0,4
4,0.7606766666666667,0.7781553333333333,0.7781553333333333,143.0,143.0,21.60625,20.8145,0.043000000000000003,0.000475,0.000675,0,4
5,0.7569531249999999,0.7739148916666666,0.7739148916666666,143.0,143.0,23.055,21.2626,0.05725,0.0001375,0.0005675000000000001,0,4
6,0.7632511249999999,0.7618206333333333,0.7721375972222222,107.25,135.85,20.403,21.087049999999998,0.04425,0.0012575,0.000679,1,4
7,0.8867169166666666,0.78571855,0.7885060714285714,107.25,128.7,21.05275,21.5118,0.03975,0.00187,0.0009429999999999999,1,4
8,0.75846475,0.7852125166666666,0.78475090625,107.25,121.55,22.32975,21.689349999999997,0.049,0.0018499999999999999,0.0011179999999999999,1,4
9,0.7544276249999999,0.7839627083333334,0.7813816527777777,71.5,107.25,23.022,21.972500000000004,0.0565,0.0106375,0.0031504999999999997,2,4
10,0.8808653333333333,0.8087451499999998,0.7913300208333334,143.0,107.25,22.32575,21.82665,0.0595,0.011025,0.005328,0,4
11,0.8141361666666667,0.8189221583333334,0.7903713958333334,71.5,100.1,23.50825,22.4477,0.06225,0.016575,0.0083915,2,4
12,0.7491585,0.791410475,0.7885645125,107.25,100.1,25.378500000000003,23.31285,0.07625,0.007350000000000001,0.0094875,1,4
13,0.8052326666666667,0.8007640583333334,0.7929882874999999,71.5,92.95,26.3185,24.110599999999998,0.1065,0.02065,0.0132475,2,4
14,0.8222349166666666,0.8143255166666667,0.7991441125000001,107.25,100.1,21.2095,23.7481,0.042749999999999996,0.007975,0.012715,1,4
15,0.68261375,0.7746752000000001,0.791710175,35.75,78.65,25.81125,24.4452,0.08449999999999999,0.0185,0.01421,3,4
16,0.8116136666666667,0.7741706999999999,0.7965464291666666,71.5,78.65,25.0345,24.75045,0.0745,0.01095,0.013085000000000003,2,4
17,0.7494467499999999,0.7742283500000001,0.7828194125000001,71.5,71.5,24.92925,24.6606,0.07825,0.01015,0.013645000000000001,2,4
18,0.8783086666666666,0.78884355,0.7948038041666667,107.25,78.65,23.51575,24.10005,0.063,0.009725000000000001,0.011460000000000001,1,4
19,0.7556316666666666,0.7755228999999999,0.7949242083333334,35.75,64.35,22.240000000000002,24.306150000000002,0.0565,0.01312,0.012488999999999998,3,4
20,0.93822275,0.8266446999999999,0.80065995,143.0,85.8,24.64275,24.072450000000003,0.0655,0.00925,0.010639,0,4
21,0.9399561666666666,0.8523131999999999,0.8132419499999999,143.0,100.1,23.58325,23.7822,0.0595,0.012925,0.011033999999999999,0,4
22,0.8094849583333333,0.8643208416666667,0.8192745958333335,71.5,100.1,25.85975,23.9683,0.08075,0.0110125,0.0112065,2,4
23,0.8752349166666666,0.8637060916666666,0.8262748208333333,107.25,100.1,25.10575,24.2863,0.076,0.00562,0.0103855,1,4
24,0.81155525,0.8748908083333333,0.8252068541666666,71.5,107.25,24.98025,24.834349999999997,0.07150000000000001,0.01205,0.0101715,2,4
25,0.817664,0.8507790583333333,0.8387118791666666,71.5,92.95,23.56275,24.61835,0.06125,0.002075,0.0087365,2,4
26,0.81926875,0.826641575,0.8394773874999999,71.5,78.65,21.94125,24.289949999999997,0.052,0.011899999999999999,0.008531500000000001,2,4
27,0.9204038333333333,0.8488253499999999,0.8565730958333333,143.0,92.95,29.65175,25.04835,0.108,0.028675,0.012064,0,4
28,0.8820914166666667,0.85019665,0.8569513708333332,107.25,92.95,22.141,24.455399999999997,0.055749999999999994,0.008295,0.012598999999999999,1,4
